symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
AMUU,-1366.7536689932588,-1599.6000000000001,-232.84633100674137,232.84633100674137,1366.7536689932588,1599.6000000000001,232.84633100674137,False
SBU,0.0,-228.54000000000002,-228.54000000000002,228.54000000000002,0.0,228.54000000000002,228.54000000000002,False
URAA,-1164.0084587131084,-936.0,228.00845871310844,228.00845871310844,1164.0084587131084,936.0,-228.00845871310844,True
AVGX,-224.3875151481606,0.0,224.3875151481606,224.3875151481606,224.3875151481606,0.0,-224.3875151481606,True
LITX,-11600.12743842177,-11824.220000000001,-224.09256157823074,224.09256157823074,11600.12743842177,11824.220000000001,224.09256157823074,False
KLAG,-1200.6095666528774,-1422.6949,-222.0853333471225,222.0853333471225,1200.6095666528774,1422.6949,222.0853333471225,False
RBLU,-1423.8355202382213,-1205.75,218.0855202382213,218.0855202382213,1423.8355202382213,1205.75,-218.0855202382213,True
NVDG,-292.2528888492513,-74.72,217.5328888492513,217.5328888492513,292.2528888492513,74.72,-217.5328888492513,True
TXXD,-1257.696290976757,-1474.0199999999998,-216.32370902324283,216.32370902324283,1257.696290976757,1474.0199999999998,216.32370902324283,False
TSLI,-308.75668889469887,-524.58,-215.82331110530117,215.82331110530117,308.75668889469887,524.58,215.82331110530117,False
DNNG,-1083.2082963593728,-872.38,210.82829635937276,210.82829635937276,1083.2082963593728,872.38,-210.82829635937276,True
LITZ,-7634.849954791582,-7424.82,210.02995479158199,210.02995479158199,7634.849954791582,7424.82,-210.02995479158199,True
MSTX,-463.56290433689816,-260.82,202.74290433689816,202.74290433689816,463.56290433689816,260.82,-202.74290433689816,True
NVYY,0.0,-197.0265,-197.0265,197.0265,0.0,197.0265,197.0265,False
JOBX,-472.1763703517437,-669.0,-196.82362964825631,196.82362964825631,472.1763703517437,669.0,196.82362964825631,False
KORU,-2372.851104586528,-2177.24,195.6111045865282,195.6111045865282,2372.851104586528,2177.24,-195.6111045865282,True
COZX,-1555.6897029897648,-1749.594,-193.90429701023527,193.90429701023527,1555.6897029897648,1749.594,193.90429701023527,False
AMDL,-1400.0002825517934,-1590.12,-190.11971744820653,190.11971744820653,1400.0002825517934,1590.12,190.11971744820653,False
CNCG,-465.2351749705319,-654.262,-189.02682502946806,189.02682502946806,465.2351749705319,654.262,189.02682502946806,False
